country,city,description,image,services
Afghanistan,Kabul,"Explore the historic capital of Afghanistan with its vibrant bazaars and rich cultural heritage.",https://images.unsplash.com/photo-1541532713592-79a0317b6b77,"Hotels,Flights,Travel Insurance"
Albania,Tirana,"Discover Tirana's colorful architecture and bustling Mediterranean atmosphere.",https://images.unsplash.com/photo-1592486058517-36236ba247c8,"Hotels,Flights,Car Rental,Travel Insurance"
Algeria,Algiers,"Experience the charm of Algiers with its stunning Casbah and Mediterranean coastline.",https://images.unsplash.com/photo-1525978111079-42d3c89165af,"Hotels,Flights,Car Rental,Travel Insurance"
Andorra,Andorra la Vella,"Experience the charm of this mountain paradise in the Pyrenees.",https://images.unsplash.com/photo-1551649001-7a2482d98d05,"Hotels,Flights,Car Rental,Travel Insurance"
Angola,Luanda,"Discover the vibrant culture and modernizing skyline of Angola's capital.",https://images.unsplash.com/photo-1557750255-c76072a7aad1,"Hotels,Flights,Car Rental,Travel Insurance"
Antigua and Barbuda,St. John's,"Experience Caribbean paradise with pristine beaches and colonial history.",https://images.unsplash.com/photo-1580237072617-771c3ecc4a24,"Hotels,Flights,Car Rental,Travel Insurance"
Argentina,Buenos Aires,"Immerse yourself in the passion of Buenos Aires, from tango to colonial architecture.",https://images.unsplash.com/photo-1589909202802-8f4aadce1849,"Hotels,Flights,Car Rental,Travel Insurance"
Armenia,Yerevan,"Discover ancient churches and vibrant culture in one of the world's oldest cities.",https://images.unsplash.com/photo-1589998059171-988d887df646,"Hotels,Flights,Car Rental,Travel Insurance"
Australia,Sydney,"Experience the iconic Opera House and beautiful harbor views.",https://images.unsplash.com/photo-1506973035872-a4ec16b8e8d9,"Hotels,Flights,Car Rental,Travel Insurance"
Australia,Melbourne,"Explore famous coffee culture and artistic laneways in Australia's cultural capital.",https://images.unsplash.com/photo-1514395462725-fb4566210144,"Hotels,Flights,Car Rental,Travel Insurance"
Austria,Vienna,"Discover imperial palaces and world-class musical heritage.",https://images.unsplash.com/photo-1516550893923-42d28e5677af,"Hotels,Flights,Car Rental,Train Services,Travel Insurance"
Azerbaijan,Baku,"Experience the blend of ancient and ultra-modern architecture.",https://images.unsplash.com/photo-1590941742869-5549f4e8fc29,"Hotels,Flights,Car Rental,Travel Insurance"
Bahamas,Nassau,"Enjoy paradise with crystal clear waters and white sand beaches.",https://images.unsplash.com/photo-1578272236030-8b47e41b1d0b,"Hotels,Flights,Car Rental,Travel Insurance"
Bahrain,Manama,"Explore modern marvels and traditional souks in this Gulf metropolis.",https://images.unsplash.com/photo-1548706041-a4c2aa891472,"Hotels,Flights,Car Rental,Travel Insurance"
Bangladesh,Dhaka,"Discover the vibrant culture and rich history of Bangladesh's capital.",https://images.unsplash.com/photo-1583422409516-2895a77efded,"Hotels,Flights,Travel Insurance"
Barbados,Bridgetown,"Experience Caribbean charm in historic Bridgetown.",https://images.unsplash.com/photo-1578272236030-8b47e41b1d0b,"Hotels,Flights,Car Rental,Travel Insurance"
Belarus,Minsk,"Explore the unique blend of Soviet and modern architecture.",https://images.unsplash.com/photo-1561542320-9a18cd340469,"Hotels,Flights,Car Rental,Train Services,Travel Insurance"
Belgium,Brussels,"Visit the capital of Europe with its grand squares and famous chocolates.",https://images.unsplash.com/photo-1559113202-c916b8e44373,"Hotels,Flights,Car Rental,Train Services,Travel Insurance"
Belize,Belize City,"Discover ancient Mayan ruins and Caribbean beaches.",https://images.unsplash.com/photo-1584466977773-e625c37cdd50,"Hotels,Flights,Car Rental,Travel Insurance"
Benin,Cotonou,"Experience West African culture and vibrant markets.",https://images.unsplash.com/photo-1523531294919-4bcd7c65e216,"Hotels,Flights,Car Rental,Travel Insurance"
Bhutan,Thimphu,"Experience the last Shangri-La and its unique Buddhist culture.",https://images.unsplash.com/photo-1557750255-c76072a7aad1,"Hotels,Flights,Travel Insurance"
Bolivia,La Paz,"Explore the world's highest capital city and Andean culture.",https://images.unsplash.com/photo-1547044479-d3fb3d6a6a3c,"Hotels,Flights,Car Rental,Travel Insurance"
Bosnia and Herzegovina,Sarajevo,"Discover rich history and cultural diversity in the heart of the Balkans.",https://images.unsplash.com/photo-1576498971191-7f166b63e544,"Hotels,Flights,Car Rental,Train Services,Travel Insurance"
Botswana,Gaborone,"Experience African wildlife and modern city life.",https://images.unsplash.com/photo-1547471080-7cc2caa01a7e,"Hotels,Flights,Car Rental,Travel Insurance"
Brazil,Rio de Janeiro,"Experience vibrant culture from Copacabana Beach to Christ the Redeemer.",https://images.unsplash.com/photo-1483729558449-99ef09a8c325,"Hotels,Flights,Car Rental,Travel Insurance"
Brazil,São Paulo,"Explore South America's largest city and its cultural experiences.",https://images.unsplash.com/photo-1554168848-228452c09d60,"Hotels,Flights,Car Rental,Travel Insurance"
Brunei,Bandar Seri Begawan,"Discover opulent mosques and water villages in this wealthy sultanate.",https://images.unsplash.com/photo-1578272236030-8b47e41b1d0b,"Hotels,Flights,Car Rental,Travel Insurance"
Bulgaria,Sofia,"Experience a mix of Ottoman and Soviet architecture in this ancient city.",https://images.unsplash.com/photo-1561024172-0ae2ebd65018,"Hotels,Flights,Car Rental,Train Services,Travel Insurance"
Burkina Faso,Ouagadougou,"Discover West African arts and culture in this unique capital.",https://images.unsplash.com/photo-1523531294919-4bcd7c65e216,"Hotels,Flights,Car Rental,Travel Insurance"
Cambodia,Phnom Penh,"Experience ancient temples and vibrant culture in Cambodia's capital.",https://images.unsplash.com/photo-1557750255-c76072a7aad1,"Hotels,Flights,Car Rental,Travel Insurance"
Cameroon,Yaoundé,"Discover diverse landscapes and rich cultural heritage in Cameroon's capital.",https://images.unsplash.com/photo-1523531294919-4bcd7c65e216,"Hotels,Flights,Car Rental,Travel Insurance"
Canada,Ottawa,"Experience the beauty and culture of Canada's capital city.",https://images.unsplash.com/photo-1514924013411-cbf25faa35bb,"Hotels,Flights,Car Rental,Train Services,Travel Insurance"
Chile,Santiago,"Explore vibrant culture against stunning Andean backdrop.",https://images.unsplash.com/photo-1547482146-0779df2681a5,"Hotels,Flights,Car Rental,Travel Insurance"
China,Beijing,"Discover ancient wonders and modern marvels in China's capital.",https://images.unsplash.com/photo-1558981806-ec527fa84c39,"Hotels,Flights,Train Services,Travel Insurance"
Colombia,Bogotá,"Experience the energy of this high-altitude capital.",https://images.unsplash.com/photo-1557750255-c76072a7aad1,"Hotels,Flights,Car Rental,Travel Insurance"
Costa Rica,San José,"Explore natural beauty and vibrant culture of Costa Rica.",https://images.unsplash.com/photo-1557750255-c76072a7aad1,"Hotels,Flights,Car Rental,Travel Insurance"
Croatia,Zagreb,"Discover charm of Croatia's capital with its historic architecture.",https://images.unsplash.com/photo-1557750255-c76072a7aad1,"Hotels,Flights,Car Rental,Train Services,Travel Insurance"
Cuba,Havana,"Experience the timeless charm of Cuba's historic capital.",https://images.unsplash.com/photo-1557750255-c76072a7aad1,"Hotels,Flights,Car Rental,Travel Insurance"
Cyprus,Nicosia,"Experience rich history and Mediterranean charm of Cyprus.",https://images.unsplash.com/photo-1557750255-c76072a7aad1,"Hotels,Flights,Car Rental,Travel Insurance"
